SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc
################################################################################################################,,,,,ls
,,,,,
# top,,,,,
# ttbar,,,,,
410501,     PowhegPythia8EvtGen_A14_ttbar_hdamp258p75_nonallhad,730.17,1.1391,0.544,1
410470,     PhPy8EG_A14_ttbar_hdamp258p75_nonallhad,729.77,1.139756362,0.54383,1
410472,PhPy8EG_A14_ttbar_hdamp258p75_dil,729.77,1.1426887924,1.05E-01,1
,,,,,
# single top,,,,,
410025,    PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_top,2.0514,1.0047821,1,1
410026,    PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_antitop,1.2615,1.02153151,1,1
410011,    PowhegPythiaEvtGen_P2012_singletop_tchan_lept_top,43.739,1.009442374,1,1
410012,    PowhegPythiaEvtGen_P2012_singletop_tchan_lept_antitop,25.778,1.019318799,1,1
410013,    PowhegPythiaEvtGen_P2012_Wt_inclusive_top,34.009,1.054,1,1
410014,    PowhegPythiaEvtGen_P2012_Wt_inclusive_antitop,33.989,1.054,1,1
410015,    PowhegPythiaEvtGen_P2012_Wt_dilepton_top,3.5834,1.054,1,1
410016,    PowhegPythiaEvtGen_P2012_Wt_dilepton_antitop,3.5813,1.054,1,1
410644,    PowhegPythia8EvtGen_A14_singletop_schan_lept_top,2.027,1.017,1,1
410645,    PowhegPythia8EvtGen_A14_singletop_schan_lept_antitop,1.2674,1.0167,1,1
410646,    PowhegPythia8EvtGen_A14_Wt_DR_inclusive_top,37.936,0.945,1,1
410647,    PowhegPythia8EvtGen_A14_Wt_DR_inclusive_antitop,37.905,0.9457,1,1
410648,PowhegPythia8EvtGen_A14_Wt_DR_dilepton_top,3.997,1.0529583752814609,1.000000E+00
410649,PowhegPythia8EvtGen_A14_Wt_DR_dilepton_antitop,3.9939,1.0537756643881917,1.000000E+00
410658,    PhPy8EG_A14_tchan_BW50_lept_top,36.996,1.1935,1,1
410659,    PhPy8EG_A14_tchan_BW50_lept_antitop,22.175,1.1849,1,1
,,,,,
################################################################################################################,,,,,
# VBF,,,,,
,,,,,
308092,    Sherpa_221_NNPDF30NNLO_Zee2jets_Min_N_TChannel,0.63197,1,1,1
308093,    Sherpa_221_NNPDF30NNLO_Zmm2jets_Min_N_TChannel,0.63433,1,1,1
308094,    Sherpa_221_NNPDF30NNLO_Ztautau2jets_Min_N_TChannel,0.63347,1,1,1
700358,Sh_2211_Zee2jets_Min_N_TChannel,0.77943,1,1,1
700359,Sh_2211_Zmm2jets_Min_N_TChannel,0.77949,1,1,1
700360,Sh_2211_Ztt2jets_Min_N_TChannel,0.77916,1,1,1
700361,Sh_2211_Znunu2jets_Min_N_TChannel,3.6571,1.0,1.000000E+00,1
600937,PhPy8EG_A14NNPDF23_VBF_Zee,0.64977,1,1,1
600938,PhPy8EG_A14NNPDF23_VBF_Zmumu,0.64977,1,1,1
600939,PhPy8EG_A14NNPDF23_VBF_Ztautau,0.64977,1,1,1
545882,MGPy8EG_SM_lowMass_eejj,1.0198,1,1,1
545884,MGPy8EG_SM_lowMass_mumujj,1.0198,1,1,1
545886,MGPy8EG_SM_lowMass_tautaujj,1.0718,1,1,1
545883,MGPy8EG_SM_highMass_eejj,0.037388,1,1,1
545885,MGPy8EG_SM_highMass_mumujj,0.037388,1,1,1
545887,MGPy8EG_SM_highMass_tautaujj,0.037449,1,1,1

558313,MGPy8EG_SM_lowMass_tautaujj_v2,0.25826,1.0,1.000000E+00,1
558314,MGPy8EG_SM_highMass_tautaujj_v2,0.0073938,1.0,1.000000E+00,1
,,,,,
################################################################################################################,,,,,
# VBF Z prime,,,,,
,,,,,
545888,MGPy8EG_Zp200_tautaujj_U1X,0.052713,4,1,1
545889,MGPy8EG_Zp250_tautaujj_U1X,0.019435,4,1,1
545890,MGPy8EG_Zp300_tautaujj_U1X,0.0092938,4,1,1
545891,MGPy8EG_Zp350_tautaujj_U1X,0.0051522,4,1,1
545892,MGPy8EG_Zp400_tautaujj_U1X,0.0031486,4,1,1
545893,MGPy8EG_Zp450_tautaujj_U1X,0.002058,4,1,1
545894,MGPy8EG_Zp500_tautaujj_U1X,0.0014064,4,1,1
567845,MGPy8EG_Zp550_tautaujj_U1X,0.00099787,4,1.000000E+00,1
567846,MGPy8EG_Zp600_tautaujj_U1X,0.00072602,4,1.000000E+00,1
567847,MGPy8EG_Zp650_tautaujj_U1X,0.00054185,4,1.000000E+00,1
567848,MGPy8EG_Zp700_tautaujj_U1X,0.00041124,4,1.000000E+00,1
567849,MGPy8EG_Zp750_tautaujj_U1X,0.00031629,4,1.000000E+00,1
567850,MGPy8EG_Zp800_tautaujj_U1X,0.000247,4,1.000000E+00,1
567851,MGPy8EG_Zp850_tautaujj_U1X,0.00019497,4,1.000000E+00,1
567852,MGPy8EG_Zp900_tautaujj_U1X,0.00015521,4,1.000000E+00,1
567853,MGPy8EG_Zp950_tautaujj_U1X,0.00012491,4,1.000000E+00,1
567854,MGPy8EG_Zp1000_tautaujj_U1X,0.0001009,4,1.000000E+00,1
567855,MGPy8EG_Zp1200_tautaujj_U1X,4.6048e-05,4,1.000000E+00,1
567856,MGPy8EG_Zp1400_tautaujj_U1X,2.2681e-05,4,1.000000E+00,1
567857,MGPy8EG_Zp1600_tautaujj_U1X,1.1758e-05,4,1.000000E+00,1
567858,MGPy8EG_Zp1800_tautaujj_U1X,6.3473e-06,4,1.000000E+00,1
567859,MGPy8EG_Zp2000_tautaujj_U1X,3.5423e-06,4,1.000000E+00,1
567860,MGPy8EG_Zp2500_tautaujj_U1X,9.0295e-07,4,1.000000E+00,1
567861,MGPy8EG_Zp3000_tautaujj_U1X,2.5176e-07,4,1.000000E+00,1
,,,,,
################################################################################################################,,,,,
,,,,,
# Diboson,,,,,
363358,   Sherpa_221_NNPDF30NNLO_WqqZll,3.4332,1,1,1
363356,   Sherpa_221_NNPDF30NNLO_ZqqZll,15.561,1,0.14103,1
363357,   Sherpa_221_NNPDF30NNLO_WqqZvv,6.7908,1,1,1
363355,   Sherpa_221_NNPDF30NNLO_ZqqZvv,15.565,1,0.27963,1
363489,   Sherpa_221_NNPDF30NNLO_WlvZqq,11.418,1,1,1
364255,   Sherpa_222_NNPDF30NNLO_lvvv,3.235,1,1,1
364254,   Sherpa_222_NNPDF30NNLO_llvv,12.504,1,1,1
364253,   Sherpa_222_NNPDF30NNLO_lllv,4.5786,1,1,1
364250,   Sherpa_222_NNPDF30NNLO_llll,1.2519,1,1,1

700488,Sh_2211_WlvWqq,109.36,1.0,4.384791E-01,1
700489,Sh_2211_WlvZqq,8.5822,1.0,1.000000E+00,1
700490,Sh_2211_WlvZbb,2.4126,1.0,1.000000E+00,1
700492,Sh_2211_WqqZll,3.3048,1.0,1.000000E+00,1
700493,Sh_2211_ZqqZll,6.3016,1.0,2.634087E-01,1
700494,Sh_2211_ZbbZll,0.97459,1.0,4.790372E-01,1
,,,,,
################################################################################################################,,,,,
,,,,,
# W+jets,,,,,
# Powheg,,,,,
361100, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu,11306,1.0172,1,1
361101, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu,11306,1.0172,1,1
361102, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu,11306,1.0172,1,1
361103, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusenu,8282.6,1.0358,1,1
361104, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusmunu,8282.6,1.0358,1,1
361105, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminustaunu,8282.6,1.0358,1,1
,,,,,
# Sherpa,,,,,
# e,,,,,
364172,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_BFilter,19138,0.9702,0.044838,1
364175,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_BFilter,945.74,0.9702,0.10341,1
364178,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_BFilter,339.67,0.9702,0.10898,1
364181,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_BFilter,72.1,0.9702,0.13706,1
364171,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_CFilterBVeto,19146,0.9702,0.13087,1
364174,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CFilterBVeto,945.56,0.9702,0.24378,1
364177,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_CFilterBVeto,339.92,0.9702,0.29187,1
364180,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_CFilterBVeto,72.112,0.9702,0.31974,1
364170,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_CVetoBVeto,19152,0.9702,0.82467,1
364173,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CVetoBVeto,944.67,0.9702,0.67486,1
364176,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_CVetoBVeto,339.69,0.9702,0.5988,1
364179,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_CVetoBVeto,72.069,0.9702,0.54825,1
364182,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV500_1000,15.047,0.9702,1,1
364183,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV1000_E_CMS,1.2342,0.9702,1,1
,,,,,
# mu,,,,,
364158,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_BFilter,19141,0.9702,0.044587,1
